Date:  2014.11.21,,,,,,,,,,
GizmoNum:  M05,,,,,,,,,,
RecipeNum:  0001,,,,,,,,,,
ExperimentNum:  0001,,,,,,,,,,
Observations:,,,,,,,,,,
,,This,,,,,,,,
,,is,,,,,,,,
,,my,,,,,,,,
,,only  ,,,,,,,,
,,observation,,,,,,,,
,,about,,,,,,,,
,,this,,,,,,,,
,,experiment,,,,,,,,
,,yay!,,,,,,,,
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
1,Do  nothing  4s,6,21.57,23.5,29.73,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,13.64,0.0,UL,This  is  a  comment
1,Do  nothing  4s,8,21.62,23.5,29.69,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,94.69,0.0,UL,This  is  a  comment
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
2,Cool  10s,26,22.0,0.0,29.36,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,16.62,UL,This  is  a  comment
2,Cool  10s,29,22.11,0.0,29.07,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,96.06,UL,This  is  a  comment
2,Cool  10s,31,22.21,0.0,28.86,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,175.5,UL,This  is  a  comment
2,Cool  10s,34,22.29,0.0,28.67,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,36,22.36,0.0,28.48,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,39,22.43,0.0,28.34,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,41,22.51,0.0,28.2,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,44,22.57,0.0,28.06,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,47,22.62,0.0,27.94,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,49,22.68,0.0,27.8,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,52,22.74,0.0,27.68,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,54,22.79,0.0,27.56,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,57,22.83,0.0,27.47,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,59,22.88,0.0,27.37,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,62,22.92,0.0,27.25,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,64,22.97,0.0,27.15,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,67,23.02,0.0,27.09,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,69,23.05,0.0,27.0,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,72,23.09,0.0,26.9,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,74,23.12,0.0,26.81,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,77,23.16,0.0,26.72,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,79,23.2,0.0,26.66,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,82,23.23,0.0,26.59,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,84,23.26,0.0,26.52,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,87,23.3,0.0,26.47,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,89,23.33,0.0,26.38,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,92,23.36,0.0,26.31,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,95,23.38,0.0,26.25,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,97,23.42,0.0,26.18,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,100,23.44,0.0,26.12,0.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
