Date:  2014.11.21,,,,,,,,,,
GizmoNum:  M05,,,,,,,,,,
RecipeNum:  0001,,,,,,,,,,
ExperimentNum:  0001,,,,,,,,,,
Observations:,,,,,,,,,,
,,This,,,,,,,,
,,is,,,,,,,,
,,my,,,,,,,,
,,only  ,,,,,,,,
,,observation,,,,,,,,
,,about,,,,,,,,
,,this,,,,,,,,
,,experiment,,,,,,,,
,,yay!,,,,,,,,
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
2,Cool  10s,101,17.33,0.0,30.06,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,104,17.17,0.0,30.18,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,106,17.01,0.0,30.28,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,110,16.78,0.0,30.41,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,112,16.61,0.0,30.46,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,115,16.46,0.0,30.51,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,117,16.3,0.0,30.56,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,120,16.16,0.0,30.65,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,123,16.01,0.0,30.71,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,125,15.86,0.0,30.75,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,128,15.72,0.0,30.83,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,130,15.57,0.0,30.9,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,133,15.4,0.0,30.93,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,136,15.27,0.0,30.97,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,138,15.14,0.0,31.05,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,141,15.01,0.0,31.07,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,143,14.88,0.0,31.1,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,146,14.77,0.0,31.11,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,148,14.62,0.0,31.12,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,151,14.5,0.0,31.16,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,153,14.38,0.0,31.18,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,156,14.26,0.0,31.22,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,158,14.14,0.0,31.25,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,161,14.05,0.0,31.29,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,163,13.9,0.0,31.29,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,166,13.76,0.0,31.25,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,169,13.65,0.0,31.28,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,171,13.54,0.0,31.31,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,174,13.45,0.0,31.34,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,176,13.35,0.0,31.36,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,179,13.23,0.0,31.36,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,182,13.13,0.0,31.37,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,184,13.02,0.0,31.36,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,187,12.93,0.0,31.4,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,189,12.82,0.0,31.41,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,192,12.72,0.0,31.42,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,194,12.62,0.0,31.43,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,197,12.53,0.0,31.42,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,200,12.44,0.0,31.46,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,202,12.34,0.0,31.48,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,205,12.25,0.0,31.5,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,207,12.16,0.0,31.5,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,210,12.07,0.0,31.49,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,212,11.98,0.0,31.52,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,215,11.9,0.0,31.52,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,217,11.81,0.0,31.53,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,220,11.71,0.0,31.5,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,222,11.61,0.0,31.51,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,225,11.53,0.0,31.55,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,227,11.47,0.0,31.57,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,230,11.37,0.0,31.58,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,232,11.29,0.0,31.53,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,235,11.2,0.0,31.52,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,237,11.11,0.0,31.51,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,240,11.04,0.0,31.52,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,242,10.98,0.0,31.42,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,245,10.92,0.0,31.38,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
3,Turn  off  4s,253,10.53,23.5,31.51,0.0,0.0.0.0.0.0.0.0,-,0.0,0.0,200.0,200.0,UL,This  is  a  comment
3,Turn  off  4s,256,10.24,23.5,31.56,0.0,0.0.0.0.0.0.0.0,-,0.0,0.0,200.0,200.0,UL,This  is  a  comment
