Date:  2014.11.21,,,,,,,,,,
GizmoNum:  M05,,,,,,,,,,
RecipeNum:  0001,,,,,,,,,,
ExperimentNum:  0001,,,,,,,,,,
Observations:,,,,,,,,,,
,,Early  device  debugging,,,,,,,,
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
2,Cool  to  Freeze,114,23.2,-10.0,23.28,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1178.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,117,23.11,-10.0,23.4,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1258.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,119,22.95,-10.0,23.57,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1338.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,122,22.74,-10.0,23.79,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1419.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,124,22.51,-10.0,24.01,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1499.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,127,22.26,-10.0,24.25,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1578.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,129,22.02,-10.0,24.49,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1660.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,132,21.77,-10.0,24.73,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1740.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,134,21.53,-10.0,24.98,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1820.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,137,21.29,-10.0,25.21,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1900.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,139,21.05,-10.0,25.45,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,1981.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,142,20.83,-10.0,25.67,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,144,20.62,-10.0,25.88,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,147,20.41,-10.0,26.09,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,150,20.19,-10.0,26.29,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,152,19.98,-10.0,26.47,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,155,19.78,-10.0,26.62,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,157,19.58,-10.0,26.76,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,160,19.4,-10.0,26.96,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,162,19.21,-10.0,27.16,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,165,19.04,-10.0,27.32,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,168,18.86,-10.0,27.46,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,170,18.67,-10.0,27.61,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,173,18.5,-10.0,27.76,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,175,18.35,-10.0,27.93,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,178,18.19,-10.0,28.1,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,181,18.02,-10.0,28.26,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,184,17.83,-10.0,28.46,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,187,17.69,-10.0,28.58,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,189,17.54,-10.0,28.71,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,192,17.4,-10.0,28.79,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,195,17.18,-10.0,28.9,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,198,17.05,-10.0,29.03,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,201,16.92,-10.0,29.17,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,203,16.79,-10.0,29.25,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,206,16.66,-10.0,29.32,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,208,16.52,-10.0,29.37,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,211,16.41,-10.0,29.51,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,213,16.28,-10.0,29.6,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,216,16.16,-10.0,29.61,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,218,16.05,-10.0,29.74,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,221,15.94,-10.0,29.87,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,224,15.83,-10.0,29.93,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,226,15.72,-10.0,29.95,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,229,15.61,-10.0,29.96,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,231,15.49,-10.0,30.04,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,234,15.4,-10.0,30.13,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,236,15.29,-10.0,30.2,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,239,15.17,-10.0,30.25,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,242,15.07,-10.0,30.28,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,244,14.97,-10.0,30.33,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,247,14.88,-10.0,30.37,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,249,14.79,-10.0,30.39,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,252,14.68,-10.0,30.42,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,254,14.6,-10.0,30.46,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,257,14.5,-10.0,30.48,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,260,14.4,-10.0,30.48,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,262,14.31,-10.0,30.52,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,265,14.22,-10.0,30.56,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,268,14.12,-10.0,30.59,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,270,14.02,-10.0,30.63,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,273,13.95,-10.0,30.65,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,275,13.86,-10.0,30.61,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,278,13.76,-10.0,30.61,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,280,13.7,-10.0,30.63,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,283,13.62,-10.0,30.67,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,285,13.53,-10.0,30.66,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,288,13.45,-10.0,30.67,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,290,13.38,-10.0,30.68,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,293,13.31,-10.0,30.69,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,295,13.22,-10.0,30.66,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,298,13.13,-10.0,30.64,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,301,13.06,-10.0,30.58,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,304,12.98,-10.0,30.57,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,306,12.91,-10.0,30.53,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,309,12.84,-10.0,30.52,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,311,12.77,-10.0,30.55,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,314,12.71,-10.0,30.63,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,316,12.62,-10.0,30.59,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,319,12.55,-10.0,30.61,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,321,12.46,-10.0,30.62,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,324,12.37,-10.0,30.64,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,327,12.31,-10.0,30.64,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,329,12.25,-10.0,30.7,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,332,12.16,-10.0,30.68,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,334,12.1,-10.0,30.69,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,337,12.04,-10.0,30.7,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,339,11.98,-10.0,30.69,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
